DATE,IPG2211A2SQ
1939-01-01,3.4219
1939-04-01,3.5337
1939-07-01,3.6110
1939-10-01,3.7228
1940-01-01,3.8088
1940-04-01,3.8862
1940-07-01,3.9635
1940-10-01,4.1183
1941-01-01,4.2473
1941-04-01,4.3848
1941-07-01,4.5224
1941-10-01,4.6428
1942-01-01,4.8491
1942-04-01,4.8921
1942-07-01,5.0726
1942-10-01,5.1930
1943-01-01,5.2876
1943-04-01,5.4423
1943-07-01,5.5971
1943-10-01,5.7605
1944-01-01,5.8206
1944-04-01,5.9324
1944-07-01,5.8636
1944-10-01,5.8894
1945-01-01,6.0098
1945-04-01,6.0356
1945-07-01,5.9582
1945-10-01,5.9066
1946-01-01,5.9496
1946-04-01,6.0700
1946-07-01,6.3365
1946-10-01,6.5514
1947-01-01,6.3967
1947-04-01,6.6546
1947-07-01,6.8352
1947-10-01,7.0157
1948-01-01,7.2651
1948-04-01,7.3768
1948-07-01,7.6004
1948-10-01,7.8153
1949-01-01,7.8067
1949-04-01,7.8755
1949-07-01,8.0990
1949-10-01,8.2882
1950-01-01,8.6407
1950-04-01,8.9932
1950-07-01,9.2253
1950-10-01,9.5864
1951-01-01,9.9819
1951-04-01,10.3258
1951-07-01,10.5408
1951-10-01,10.7385
1952-01-01,10.9965
1952-04-01,11.0137
1952-07-01,11.3834
1952-10-01,11.7617
1953-01-01,11.8390
1953-04-01,12.2173
1953-07-01,12.4409
1953-10-01,12.4323
1954-01-01,12.7332
1954-04-01,12.9739
1954-07-01,13.2147
1954-10-01,13.7047
1955-01-01,14.0486
1955-04-01,14.4785
1955-07-01,14.8826
1955-10-01,15.4415
1956-01-01,15.8112
1956-04-01,16.1981
1956-07-01,16.1379
1956-10-01,16.4216
1957-01-01,16.8171
1957-04-01,17.1094
1957-07-01,17.4533
1957-10-01,17.5823
1958-01-01,17.7027
1958-04-01,17.7285
1958-07-01,18.1497
1958-10-01,18.5968
1959-01-01,19.2245
1959-04-01,19.7575
1959-07-01,20.0584
1959-10-01,20.3937
1960-01-01,21.0042
1960-04-01,21.1503
1960-07-01,21.3395
1960-10-01,21.4770
1961-01-01,21.5974
1961-04-01,22.2852
1961-07-01,22.6893
1961-10-01,23.1622
1962-01-01,23.6093
1962-04-01,23.9188
1962-07-01,24.3315
1962-10-01,24.6668
1963-01-01,25.4320
1963-04-01,25.5696
1963-07-01,25.7931
1963-10-01,26.3863
1964-01-01,27.0570
1964-04-01,27.8909
1964-07-01,28.4240
1964-10-01,28.6389
1965-01-01,28.9743
1965-04-01,29.6277
1965-07-01,29.7652
1965-10-01,30.5562
1966-01-01,30.9775
1966-04-01,31.6739
1966-07-01,32.5939
1966-10-01,32.7658
1967-01-01,32.7327
1967-04-01,33.5963
1967-07-01,33.2180
1967-10-01,34.9101
1968-01-01,35.3282
1968-04-01,36.0987
1968-07-01,36.5101
1968-10-01,37.5323
1969-01-01,38.5455
1969-04-01,38.9815
1969-07-01,40.0938
1969-10-01,40.5734
1970-01-01,41.0191
1970-04-01,41.8504
1970-07-01,42.6258
1970-10-01,42.4433
1971-01-01,43.4777
1971-04-01,44.1486
1971-07-01,44.1391
1971-10-01,44.3137
1972-01-01,46.2101
1972-04-01,46.4270
1972-07-01,46.3885
1972-10-01,48.1138
1973-01-01,48.9141
1973-04-01,49.5395
1973-07-01,50.2995
1973-10-01,49.5463
1974-01-01,48.0514
1974-04-01,49.6356
1974-07-01,50.0949
1974-10-01,50.0702
1975-01-01,49.6408
1975-04-01,50.9867
1975-07-01,50.8395
1975-10-01,50.6140
1976-01-01,51.6194
1976-04-01,51.9412
1976-07-01,52.6796
1976-10-01,55.3702
1977-01-01,54.5330
1977-04-01,54.8776
1977-07-01,55.7711
1977-10-01,55.3953
1978-01-01,56.3295
1978-04-01,56.0448
1978-07-01,56.7360
1978-10-01,57.0116
1979-01-01,59.0686
1979-04-01,58.1771
1979-07-01,56.4890
1979-10-01,57.2444
1980-01-01,57.5347
1980-04-01,56.6841
1980-07-01,58.9903
1980-10-01,59.3615
1981-01-01,58.0899
1981-04-01,59.3076
1981-07-01,59.3038
1981-10-01,59.0926
1982-01-01,58.4984
1982-04-01,57.0356
1982-07-01,56.2114
1982-10-01,56.1762
1983-01-01,54.8515
1983-04-01,55.9846
1983-07-01,58.9396
1983-10-01,59.8317
1984-01-01,61.1890
1984-04-01,61.6899
1984-07-01,60.2097
1984-10-01,60.1408
1985-01-01,62.6858
1985-04-01,61.7547
1985-07-01,61.8649
1985-10-01,62.9601
1986-01-01,62.1812
1986-04-01,62.3940
1986-07-01,63.1603
1986-10-01,63.7605
1987-01-01,64.0785
1987-04-01,65.9280
1987-07-01,66.8146
1987-10-01,66.8265
1988-01-01,69.5328
1988-04-01,69.2172
1988-07-01,70.9491
1988-10-01,69.9125
1989-01-01,70.6202
1989-04-01,71.2006
1989-07-01,71.8641
1989-10-01,74.6697
1990-01-01,72.2195
1990-04-01,73.5892
1990-07-01,74.7516
1990-10-01,73.5627
1991-01-01,73.7127
1991-04-01,75.9044
1991-07-01,76.1521
1991-10-01,75.6109
1992-01-01,74.3822
1992-04-01,75.0113
1992-07-01,74.5992
1992-10-01,77.3929
1993-01-01,77.4600
1993-04-01,76.9926
1993-07-01,78.7085
1993-10-01,78.4635
1994-01-01,80.1775
1994-04-01,79.1612
1994-07-01,79.4445
1994-10-01,79.1726
1995-01-01,80.1513
1995-04-01,81.7396
1995-07-01,83.8153
1995-10-01,83.5395
1996-01-01,85.7490
1996-04-01,85.5902
1996-07-01,82.7832
1996-10-01,84.4472
1997-01-01,83.8011
1997-04-01,83.2935
1997-07-01,84.4899
1997-10-01,86.3654
1998-01-01,84.1323
1998-04-01,86.9106
1998-07-01,88.8480
1998-10-01,87.3026
1999-01-01,88.6009
1999-04-01,89.1589
1999-07-01,90.7439
1999-10-01,89.3260
2000-01-01,89.7684
2000-04-01,92.1571
2000-07-01,91.5196
2000-10-01,94.6630
2001-01-01,93.8751
2001-04-01,91.9119
2001-07-01,91.2171
2001-10-01,89.7810
2002-01-01,91.4074
2002-04-01,95.0378
2002-07-01,94.9781
2002-10-01,96.0485
2003-01-01,96.9896
2003-04-01,94.6688
2003-07-01,95.7893
2003-10-01,96.4239
2004-01-01,98.2206
2004-04-01,97.8607
2004-07-01,95.3093
2004-10-01,98.1751
2005-01-01,98.0475
2005-04-01,98.7101
2005-07-01,101.0457
2005-10-01,100.2206
2006-01-01,96.8635
2006-04-01,99.8730
2006-07-01,100.5369
2006-10-01,99.3893
2007-01-01,101.9761
2007-04-01,101.8866
2007-07-01,102.7642
2007-10-01,102.4934
2008-01-01,103.1260
2008-04-01,102.7765
2008-07-01,100.1363
2008-10-01,101.6736
2009-01-01,100.2229
2009-04-01,98.4785
2009-07-01,97.2010
2009-10-01,100.2156
2010-01-01,103.0771
2010-04-01,101.5255
2010-07-01,103.5651
2010-10-01,102.8639
2011-01-01,103.3288
2011-04-01,102.1207
2011-07-01,103.7799
2011-10-01,100.2662
2012-01-01,96.4984
2012-04-01,101.3524
2012-07-01,101.7530
2012-10-01,100.3963
2013-01-01,101.3368
2013-04-01,102.0532
2013-07-01,100.7364
2013-10-01,104.6909
2014-01-01,107.0099
2014-04-01,102.6535
2014-07-01,100.4548
2014-10-01,103.9133
2015-01-01,106.3663
2015-04-01,102.4885
2015-07-01,102.5424
2015-10-01,99.5686
2016-01-01,99.6795
2016-04-01,102.7574
2016-07-01,105.0194
2016-10-01,101.7293
2017-01-01,98.0073
2017-04-01,101.5917
2017-07-01,101.5601
2017-10-01,104.9062
2018-01-01,104.4540
2018-04-01,106.2746
2018-07-01,105.3759
2018-10-01,107.7163
2019-01-01,107.0056
